combo_key,option,match_no,winner_slot,winner_group,third_group
ABCDFHJL,446,74,1E,E,D
ABCDFHJL,446,82,1G,G,A
ABCDFHJL,446,77,1I,I,F
ABCDFHJL,446,87,1K,K,L
ABCDFHJL,446,80,1L,L,H
ABCDFHKL,445,79,1A,A,H
ABCDFHKL,445,85,1B,B,F
ABCDFHKL,445,81,1D,D,B
ABCDFHKL,445,74,1E,E,C
ABCDFHKL,445,82,1G,G,A
ABCDFHKL,445,77,1I,I,D
ABCDFHKL,445,87,1K,K,L
ABCDFHKL,445,80,1L,L,K
ABCDFIJK,444,79,1A,A,C
ABCDFIJK,444,85,1B,B,J
ABCDFIJK,444,81,1D,D,B
ABCDFIJK,444,74,1E,E,D
ABCDFIJK,444,82,1G,G,A
ABCDFIJK,444,77,1I,I,F
ABCDFIJK,444,87,1K,K,I
ABCDFIJK,444,80,1L,L,K
ABCDFIJL,443,79,1A,A,C
ABCDFIJL,443,85,1B,B,J
ABCDFIJL,443,81,1D,D,B
ABCDFIJL,443,74,1E,E,D
ABCDFIJL,443,82,1G,G,A
ABCDFIJL,443,77,1I,I,F
ABCDFIJL,443,87,1K,K,L
ABCDFIJL,443,80,1L,L,I
ABCDFIKL,442,79,1A,A,C
ABCDFIKL,442,85,1B,B,I
ABCDFIKL,442,81,1D,D,B
ABCDFIKL,442,74,1E,E,D
ABCDFIKL,442,82,1G,G,A
ABCDFIKL,442,77,1I,I,F
ABCDFIKL,442,87,1K,K,L
ABCDFIKL,442,80,1L,L,K
ABCDFJKL,441,79,1A,A,C
ABCDFJKL,441,85,1B,B,J
ABCDFJKL,441,81,1D,D,B
ABCDFJKL,441,74,1E,E,D
ABCDFJKL,441,82,1G,G,A
ABCDFJKL,441,77,1I,I,F
ABCDFJKL,441,87,1K,K,L
ABCDFJKL,441,80,1L,L,K
ABCDGHIJ,440,79,1A,A,H
ABCDGHIJ,440,85,1B,B,G
ABCDGHIJ,440,81,1D,D,B
ABCDGHIJ,440,74,1E,E,C
ABCDGHIJ,440,82,1G,G,A
ABCDGHIJ,440,77,1I,I,D
ABCDGHIJ,440,87,1K,K,I
ABCDGHIJ,440,80,1L,L,J
ABCDGHIK,439,79,1A,A,H
ABCDGHIK,439,85,1B,B,G
ABCDGHIK,439,81,1D,D,B
ABCDGHIK,439,74,1E,E,C
ABCDGHIK,439,82,1G,G,A
ABCDGHIK,439,77,1I,I,D
ABCDGHIK,439,87,1K,K,I
ABCDGHIK,439,80,1L,L,K
ABCDGHIL,438,79,1A,A,H
ABCDGHIL,438,85,1B,B,G
ABCDGHIL,438,81,1D,D,B
ABCDGHIL,438,74,1E,E,C
ABCDGHIL,438,82,1G,G,A
ABCDGHIL,438,77,1I,I,D
ABCDGHIL,438,87,1K,K,L
ABCDGHIL,438,80,1L,L,I
