rank,player_name,team,position_group,minutes,xg_chain,xg_buildup,xg_chain_p90,xg_buildup_p90
207,Tomáš Holeš,Czech Republic,DEF,293,0.8884017294,0.8217377433999999,0.2728879032286689,0.2524109109419795
208,Ianis Hagi,Romania,MID,201,0.855906371,0.529957424,0.38324165865671644,0.2372943689552239
209,Milos Veljkovic,Serbia,DEF,288,0.845456776,0.845456776,0.2642052425,0.2642052425
210,Jan Vertonghen,Belgium,DEF,285,0.832711642,0.727798787,0.26296157115789476,0.22983119589473683
211,Berat Djimsiti,Albania,DEF,291,0.825487616,0.5861218499999999,0.2553054482474227,0.18127479896907217
212,Fabian Rieder,Switzerland,MID,233,0.824255483,0.611594169,0.31838194622317595,0.2362380910300429
213,Dušan Vlahović,Serbia,MID,189,0.802570602,0.532134255,0.3821764771428571,0.2533972642857143
214,Róbert Boženík,Slovakia,FWD,225,0.7932346450000001,0.6590702890000001,0.31729385800000004,0.26362811560000005
215,Scott McTominay,Scotland,MID,295,0.790125945,0.37460540000000003,0.24105537305084745,0.114286393220339
216,Saša Lukić,Serbia,MID,212,0.78115282,0.78115282,0.3316214801886792,0.3316214801886792
217,Davide Frattesi,Italy,MID,204,0.758557287,0.485573687,0.3346576266176471,0.21422368544117648
218,Arlind Afrim Ajeti,Albania,DEF,291,0.7264414490000001,0.7264414490000001,0.22467261309278352,0.22467261309278352
219,Marcelo Brozović,Croatia,MID,241,0.7215856390000001,0.42084395,0.2694718153941909,0.15716164107883818
220,Petar Stojanović,Slovenia,MID,325,0.709685623,0.40525117099999997,0.1965283263692308,0.11222340119999999
221,Mario Mitaj,Albania,DEF,291,0.679137251,0.648456587,0.21004244876288658,0.20055358360824743
222,Anzor Mekvabishvili,Georgia,MID,203,0.665458055,0.584471221,0.2950306647783251,0.25912517187192124
223,Grant Campbell Hanley,Scotland,DEF,250,0.6352900300000001,0.35558265,0.2287044108,0.128009754
224,Maximilian Wöber,Austria,DEF,190,0.617034831,0.48530770199999995,0.29227965678947365,0.2298825956842105
225,Milos Kerkez,Hungary,DEF,242,0.6083092880000001,0.546108995,0.22623072694214877,0.20309838657024795
226,Andrew Robertson,Scotland,DEF,282,0.595225686,0.16705145700000001,0.18996564446808512,0.05331429478723405
227,Elseid Hysaj,Albania,DEF,197,0.587676542,0.446914924,0.26848166893401015,0.20417433076142133
228,Radu Drăgușin,Romania,DEF,385,0.582241791,0.438132556,0.1361084706233766,0.10242059750649352
229,Nedim Bajrami,Albania,MID,257,0.517667876,0.407554367,0.1812844701945525,0.14272331918287937
230,Anthony Ralston,Scotland,DEF,276,0.511597983,0.31715418700000003,0.16682542923913043,0.10341984358695654
231,Callum McGregor,Scotland,MID,268,0.49372745,0.265830699,0.16580399440298507,0.0892715033955224
232,Paweł Dawidowicz,Poland,DEF,192,0.48969033900000003,0.421299469,0.22954234640625001,0.19748412609375002
233,Luka Lochoshvili,Georgia,DEF,186,0.484509438,0.43351119400000004,0.2344400506451613,0.20976348096774194
234,Marius Mihai Marin,Romania,MID,314,0.421572735,0.317733315,0.120832949522293,0.09107005843949044
235,Solomon Kverkvelia,Georgia,DEF,190,0.407318599,0.407318599,0.192940389,0.192940389
236,Márton Dárdai,Hungary,DEF,188,0.384336272,0.327202222,0.18399076851063828,0.15663936159574468
237,Che Adams,Scotland,FWD,213,0.380996454,0.194443796,0.16098441718309858,0.08215935042253521
238,Jack Hendry,Scotland,DEF,295,0.26973886,0.203584276,0.08229321152542374,0.06211045708474576
239,Billy Gilmour,Scotland,MID,191,0.256654463,0.168887175,0.12093665795811517,0.0795803442408377
240,Luke Shaw,England,DEF,195,0.201083429,0.149636712,0.09280773646153848,0.06906309784615385
241,John McGinn,Scotland,FWD,237,0.194443796,0.194443796,0.07383941620253165,0.07383941620253165
