rank,player_name,team,position_group,minutes,value_share,minutes_weight,overachievement_mult,shrinkage,carry_score,vaep_raw
131,Billy Gilmour,Scotland,MID,191,0.03008383805157753,0.7074074074074074,3.0004757767029426,0.41431670281995664,0.026456074936425843,0.11715863854267139
132,Andraž Šporar,Slovenia,FWD,352,0.02712708484497297,0.9777777777777777,1.7557945012997307,0.5659163987138264,0.026355378144804723,0.09935627969808239
133,Arda Güler,Turkey,FWD,360,0.02197132717762001,0.8,2.566679355379114,0.5714285714285714,0.025779818000949643,0.21477607098710888
134,Jan Vertonghen,Belgium,DEF,285,0.045927234667383944,0.7916666666666666,1.3446812754032118,0.5135135135135135,0.025106368004807703,0.27714157285675595
135,Marcelo Brozović,Croatia,MID,241,0.026738987007132904,0.8925925925925926,2.1782493249099044,0.47162426614481406,0.024518955147073678,0.11675933375897925
136,Berat Djimsiti,Albania,DEF,291,0.026156069590736825,1.0,1.7671360990133853,0.5187165775401069,0.02397577258750502,0.09532240851347693
137,Ivan Ilić,Serbia,MID,214,0.05033199629974035,0.7925925925925926,1.3560228731168664,0.44214876033057854,0.023918260527061527,0.197730245590658
138,Peter Pekarík,Slovakia,DEF,409,0.022151397819631297,1.0,1.7557945012997307,0.6023564064801178,0.023427629922702347,0.13929784941049883
139,Jorge Luiz Frello Filho,Italy,MID,223,0.04752489156526548,0.6194444444444445,1.7557945012997307,0.45233265720081134,0.02338057164541174,0.34449213448594207
140,Oleksandr Tymchyk,Ukraine,DEF,215,0.03669892232179153,0.7962962962962963,1.7671360990133853,0.44329896907216493,0.0228925792868582,0.18067145466155127
141,Mikel Oyarzabal Ugarte,Spain,FWD,234,0.06072549492851099,0.37142857142857144,2.1328829340552846,0.4642857142857143,0.022335655952417176,0.9011815738776733
142,Robin Aime Robert Le Normand,Spain,DEF,468,0.020180521413369998,0.7428571428571429,2.1328829340552846,0.6341463414634146,0.020276556273651523,0.299483998778152
143,Silvan Widmer,Switzerland,DEF,312,0.031192524067569585,0.6933333333333334,1.744452903586076,0.5360824742268041,0.02022476375839385,0.28853254125701483
144,Anzor Mekvabishvili,Georgia,MID,203,0.04163855351545239,0.5638888888888889,1.7557945012997307,0.42917547568710357,0.017692848266592568,0.21519396269154753
145,Andrei Burcă Andonie,Romania,DEF,385,0.022147855634408728,1.0,1.3446812754032118,0.5877862595419847,0.01750533679899287,0.11124363467447336
146,Luke Shaw,England,DEF,195,0.03147281562164733,0.30952380952380953,3.777335837641361,0.41935483870967744,0.015431101111130966,0.35604163518790577
147,Jamal Musiala,Germany,FWD,443,0.23866198514407855,0.9844444444444445,0.1,0.6213183730715287,0.01459784195809265,3.004071629117829
148,Álvaro Borja Morata Martín,Spain,FWD,467,0.013448449748377835,0.7412698412698413,2.1328829340552846,0.6336499321573948,0.013473020408866821,0.19957836695650807
149,Róbert Boženík,Slovakia,FWD,225,0.02470611360777189,0.625,1.7557945012997307,0.45454545454545453,0.012323539324151232,0.15536303942878524
150,Dan Ndoye,Switzerland,DEF,418,0.012278015880082123,0.9288888888888889,1.744452903586076,0.6075581395348837,0.012087571366618479,0.11357231353897633
151,Joey Veerman,Netherlands,MID,233,0.014945715774758592,0.43148148148148147,3.377564209458497,0.46322067594433397,0.010089518246684992,0.17942659132389935
152,Milan Škriniar,Slovakia,DEF,425,0.008496852091632597,1.0,1.7557945012997307,0.6115107913669064,0.009122962053035095,0.053431988028971256
153,Joshua Kimmich,Germany,DEF,519,0.10969859074155087,1.0,0.1,0.6577946768060836,0.00721591490429213,1.3807914318736532
154,Florian Wirtz,Germany,FWD,303,0.200562216504978,0.6733333333333333,0.1,0.5287958115183246,0.007141134975802026,2.5245045377120494
155,Dennis Man,Romania,MID,284,0.012946458182055427,0.7888888888888889,1.3446812754032118,0.5126353790613718,0.007040358023017362,0.06502711089083588
156,Marko Arnautović,Austria,FWD,297,0.014183431222262378,0.825,0.9335680495066926,0.5238095238095238,0.005722089231425205,0.07705200565429962
157,Josip Stanišić,Croatia,DEF,196,0.008011892636791966,0.725925925925926,2.1782493249099044,0.4206008583690987,0.005328502463245895,0.034984991995798374
158,Nathan Aké,Netherlands,DEF,493,0.0025167726724154254,0.912962962962963,3.377564209458497,0.6461336828309305,0.005014448142845776,0.030214407162171164
159,Florian Grillitsch,Austria,MID,201,0.021344488715956737,0.5583333333333333,0.9335680495066926,0.4267515923566879,0.004747887753850797,0.1159547107789126
160,Maximilian Mittelstädt,Germany,DEF,327,0.11574044569037789,0.7266666666666667,0.1,0.5477386934673367,0.0046067411566076385,1.456841101149886
161,Philipp Lienhart,Austria,DEF,222,0.016548758963057082,0.6166666666666667,0.9335680495066926,0.45121951219512196,0.004298824899638783,0.08990173458109978
